order_item_id,order_id,product_id,quantity,selling_price
1,1,157,4,5351.04
2,1,372,3,2126.62
3,1,466,2,3543.0
4,1,249,1,6139.17
5,1,67,3,6765.53
6,2,457,2,4840.21
7,2,173,2,4328.16
8,2,168,4,4609.57
9,2,34,3,1739.97
10,2,316,2,3281.58
11,3,360,3,2975.5
12,4,393,4,1234.01
13,4,85,3,206.91
14,5,174,4,2623.77
15,5,81,1,3349.11
16,5,197,4,3444.31
17,6,333,2,6331.32
18,6,329,2,6150.42
19,6,140,1,4644.31
20,6,141,2,4217.11
21,7,64,2,5245.29
22,7,462,1,1440.1
23,8,286,1,5544.61
24,8,462,4,1440.1
25,8,323,1,4863.69
26,8,54,1,3298.92
27,9,438,2,3420.48
28,9,491,1,336.73
29,9,291,3,4158.04
30,9,395,3,4977.01
31,9,45,4,2239.06
32,10,384,1,4637.79
33,10,336,2,3505.41
34,10,472,3,3476.76
35,11,185,2,1990.36
36,12,48,2,3118.93
37,13,454,3,469.46
38,13,116,1,584.32
39,14,439,4,5144.08
40,15,91,1,2388.1
41,15,333,3,6331.32
42,15,409,3,4629.95
43,15,215,3,3143.73
44,15,386,3,988.77
45,16,385,4,4521.81
46,16,458,4,4050.01
47,16,361,4,3228.33
48,16,350,2,1035.46
49,17,171,2,6247.86
50,17,484,4,5888.26
51,17,173,4,4328.16
52,18,27,1,1911.35
53,19,410,1,2717.31
54,19,262,2,3433.24
55,19,410,1,2717.31
56,19,364,2,6026.85
57,20,211,3,3182.08
58,20,12,4,5776.18
59,20,257,3,1725.23
60,21,151,4,1368.5
61,22,437,4,1635.15
62,22,170,3,3039.1
63,22,87,2,1282.33
64,23,418,1,4532.15
65,23,370,1,4396.17
66,24,273,2,4355.96
67,24,98,3,5554.21
68,25,427,2,5615.06
69,25,309,2,825.37
70,26,152,1,5260.39
71,26,160,4,6704.84
72,26,190,4,2545.79
73,26,414,3,981.22
74,27,493,2,6088.79
75,27,467,2,5633.33
76,28,135,1,5029.03
77,28,149,4,5667.0
78,28,162,2,3673.3
79,29,38,1,1645.79
80,30,96,3,418.99
81,31,27,2,1911.35
82,31,349,4,4253.69
83,32,47,2,2540.64
84,33,132,4,734.08
85,34,108,4,2189.38
86,34,77,3,5802.31
87,34,500,2,5135.84
88,34,200,1,3146.05
89,35,6,1,2038.84
90,36,411,2,4968.3
91,36,387,1,1384.34
92,36,367,1,2356.19
93,36,25,1,6342.54
94,37,9,1,3407.08
95,38,275,3,1381.85
96,39,220,1,3372.55
97,39,194,1,3575.56
