product_id,product_name,category,brand,cost_price,selling_price
1,Nam,Electronics,Samsung,2353,2876.42
2,Reprehenderit,Fashion,Nike,4567,5222.22
3,Consequatur,Books,Penguin,344,394.52
4,Similique,Fashion,Nike,4697,5633.67
5,Quidem,Groceries,Amul,1905,2523.37
6,Et,Home,IKEA,1407,2038.84
7,Delectus,Home,Prestige,1373,1658.11
8,Aut,Home,IKEA,859,1108.08
9,Vitae,Home,Prestige,2266,3407.08
10,Adipisci,Books,Pearson,1122,1780.12
11,Totam,Books,Penguin,4622,5761.74
12,Dolorem,Groceries,Tata,4829,5776.18
13,Sapiente,Electronics,Samsung,1966,2922.53
14,Commodi,Electronics,Apple,927,1195.89
15,Nesciunt,Books,Pearson,3088,3647.94
16,Vero,Home,Philips,2287,3318.23
17,Vitae,Electronics,Apple,4475,6553.92
18,Aut,Fashion,Levis,3208,3961.8
19,Optio,Groceries,Fortune,2756,4193.05
20,In,Electronics,Apple,362,543.91
21,Minus,Books,Oxford,642,773.93
22,Sequi,Groceries,Tata,1841,2628.43
23,Animi,Books,Pearson,3858,4519.4
24,Dolore,Fashion,Adidas,4698,6433.86
25,Reprehenderit,Groceries,Amul,4880,6342.54
26,Quia,Fashion,Adidas,4274,5756.04
27,Esse,Electronics,Samsung,1352,1911.35
28,Cumque,Books,Pearson,620,801.28
29,Aliquam,Groceries,Amul,4434,5434.79
30,Fuga,Groceries,Aashirvaad,1038,1495.61
31,Expedita,Groceries,Tata,2886,3335.57
32,Quis,Books,Penguin,3816,4203.79
33,Harum,Home,Philips,4258,6626.78
34,Atque,Home,Philips,1352,1739.97
35,Sit,Fashion,Nike,2755,3703.55
36,Molestias,Electronics,Sony,2619,3194.46
37,Mollitia,Fashion,Nike,801,1174.23
38,Dolorem,Electronics,Apple,1151,1645.79
39,Distinctio,Groceries,Fortune,2271,3097.27
40,Reiciendis,Groceries,Amul,1835,2870.78
41,Beatae,Fashion,Puma,3368,5380.63
42,Eligendi,Home,Milton,4339,5752.4
43,Cumque,Fashion,Adidas,624,791.88
44,Nihil,Groceries,Fortune,4920,5953.73
45,Placeat,Electronics,Samsung,1975,2239.06
46,Accusantium,Electronics,Sony,680,922.81
47,Provident,Home,Milton,1855,2540.64
48,Aspernatur,Groceries,Amul,2090,3118.93
49,Maiores,Books,Penguin,872,1001.46
50,Necessitatibus,Books,Oxford,3569,4659.51
51,Quos,Electronics,Samsung,596,775.58
52,Maxime,Home,IKEA,2136,2554.22
53,Nesciunt,Groceries,Amul,1248,1636.05
54,Mollitia,Home,Milton,2146,3298.92
55,Officia,Electronics,LG,4608,5294.38
56,Animi,Groceries,Aashirvaad,864,1350.59
57,Molestiae,Fashion,Adidas,3429,4604.53
58,Eveniet,Fashion,Levis,580,685.74
59,Voluptates,Electronics,LG,2272,3551.72
60,Mollitia,Books,Oxford,3565,5163.17
61,Dolor,Groceries,Amul,1368,1634.69
62,Blanditiis,Fashion,Nike,4844,7110.36
63,Rem,Electronics,Sony,568,639.04
64,Quam,Books,Pearson,4450,5245.29
65,Mollitia,Groceries,Aashirvaad,1622,1839.77
66,Magni,Electronics,Apple,3407,3951.93
67,Magni,Groceries,Fortune,4842,6765.53
68,Assumenda,Groceries,Aashirvaad,3534,5048.98
69,Incidunt,Groceries,Tata,2236,2687.96
70,Repellendus,Home,Philips,2275,2952.71
71,Illo,Home,Milton,2690,4208.53
72,Facere,Electronics,Samsung,3854,5436.37
73,In,Groceries,Aashirvaad,700,958.17
74,Ullam,Groceries,Tata,1185,1856.46
75,Amet,Electronics,Apple,3127,3885.28
76,Nulla,Books,Pearson,2578,3624.25
77,Non,Groceries,Aashirvaad,4643,5802.31
78,Mollitia,Electronics,Apple,2266,2623.38
79,Eius,Electronics,Apple,2331,2892.49
80,Vitae,Fashion,Puma,1767,2551.1
81,Inventore,Home,Milton,2157,3349.11
82,Sed,Electronics,Samsung,3569,5405.87
83,Eaque,Electronics,Samsung,2832,4207.1
84,Et,Home,Philips,3719,5116.75
85,Reiciendis,Books,Pearson,179,206.91
86,Nesciunt,Fashion,Nike,3124,4346.28
87,Laborum,Fashion,Levis,1144,1282.33
88,Accusamus,Home,IKEA,3031,3652.47
89,Incidunt,Fashion,Nike,2997,4465.7
90,Tenetur,Books,Pearson,1366,2134.9
91,Sed,Fashion,Adidas,1550,2388.1
92,Minus,Electronics,Apple,2821,4206.66
93,Doloremque,Books,Pearson,2132,2629.61
94,Odit,Electronics,LG,417,637.72
95,Eaque,Fashion,Adidas,3870,4933.59
96,Delectus,Fashion,Adidas,293,418.99
97,Dolores,Books,Oxford,2382,3649.64
98,Molestiae,Home,Prestige,4273,5554.21
99,Deleniti,Groceries,Tata,326,377.4
100,Nostrum,Home,Philips,4856,7678.63
101,Cumque,Home,IKEA,988,1381.51
102,Commodi,Home,Prestige,3674,5155.01
103,Impedit,Groceries,Aashirvaad,3255,5044.44
104,Dignissimos,Fashion,Puma,463,673.38
105,Facere,Electronics,Apple,3083,4056.14
106,Esse,Home,Prestige,1120,1635.06
107,Neque,Home,Prestige,3445,4351.35
108,Vel,Home,Philips,1671,2189.38
109,Deserunt,Books,Pearson,1525,2146.83
110,Laboriosam,Home,Milton,4588,6959.37
111,Ullam,Home,Prestige,1821,2394.51
112,Quos,Groceries,Tata,3909,5163.37
113,Voluptatem,Fashion,Levis,1490,2129.84
114,Iste,Home,Prestige,865,1305.47
115,Fugiat,Fashion,Puma,1940,2916.37
116,Veniam,Fashion,Nike,478,584.32
117,Distinctio,Books,Pearson,696,924.08
118,Consequuntur,Groceries,Fortune,3245,4371.63
119,Veritatis,Fashion,Adidas,145,224.22
120,Quam,Electronics,LG,1892,2247.59
121,Quam,Groceries,Amul,511,704.52
122,Tempora,Electronics,LG,1192,1788.84
123,Animi,Groceries,Tata,3725,5238.56
124,Quibusdam,Groceries,Amul,4588,6069.73
125,Possimus,Fashion,Levis,3786,4655.25
126,Saepe,Fashion,Puma,4370,5865.84
127,Vitae,Fashion,Puma,3703,4216.76
128,Sit,Home,Philips,2325,2947.92
129,Consequuntur,Groceries,Aashirvaad,1233,1449.29
130,Soluta,Books,Pearson,1351,1963.29
131,Nemo,Electronics,LG,3439,4351.85
132,Dignissimos,Books,Oxford,610,734.08
133,Tempore,Books,Oxford,4884,7682.68
134,Excepturi,Electronics,LG,4007,4419.51
